scenario,frame,robot_r,robot_c,goal_r,goal_c,force_r,force_c,dr,dc,time_ms,success,action,pedestrians_count,max_occupancy,coverage
BR-06,160,7,3,7,3,0.0,-1.0,0,-1,0.02139998832717538,True,ADVANCE,11,1641.1803884299545,10.02004008016032
BR-06,161,7,2,7,2,0.0,-1.0,0,-1,0.02180004958063364,True,ADVANCE,15,1000.0,10.08684034736139
BR-06,162,7,1,7,1,0.0,-1.0,0,-1,0.02039998071268201,True,ADVANCE,7,1018.3156388887342,10.153640614562457
BR-06,163,6,1,8,1,7.091321019752684,-7.050756427137004,-1,0,0.043599982745945454,True,ADVANCE,8,1441.9177913467624,10.153640614562457
BR-06,164,7,1,8,1,2.0,0.0,1,0,0.020599982235580683,True,ADVANCE,11,1441.9177913467624,10.153640614562457
BR-06,165,8,1,8,1,1.0,0.0,1,0,0.0192999723367393,True,ADVANCE,6,1000.0,10.220440881763528
BR-06,166,8,0,8,0,0.0,-1.0,0,-1,0.019300030544400215,True,ADVANCE,7,1000.0,10.287241148964595
BR-06,167,9,0,9,0,1.0,0.0,1,0,0.03309996100142598,True,ADVANCE,12,1800.7374029168082,10.354041416165664
BR-06,168,9,1,9,1,0.0,1.0,0,1,0.02500001573935151,True,ADVANCE,9,1000.0,10.420841683366733
BR-06,169,9,2,9,2,0.0,1.0,0,1,0.020900042727589607,True,ADVANCE,9,1800.7374029168082,10.487641950567802
BR-06,170,8,2,8,2,-1.0,0.0,-1,0,0.020199979189783335,True,ADVANCE,10,1641.1803884299545,10.554442217768871
BR-06,171,9,2,8,3,-7.050756427137004,7.091321019752684,1,0,0.05670002428814769,True,ADVANCE,4,1000.0,10.554442217768871
BR-06,172,9,3,9,3,0.0,1.0,0,1,0.02039998071268201,True,ADVANCE,13,1800.7374029168082,10.62124248496994
BR-06,173,8,3,8,3,-1.0,0.0,-1,0,0.02039998071268201,True,ADVANCE,8,1800.7374029168082,10.68804275217101
BR-06,174,8,4,8,5,0.0,2.0,0,1,0.02150004729628563,True,ADVANCE,8,1000.0,10.754843019372078
BR-06,175,8,4,8,5,0.0,-10.0,0,0,0.03850000211969018,False,WAIT,6,1129.9303907247136,10.754843019372078
BR-06,176,8,5,8,5,0.0,1.0,0,1,0.021899992134422064,True,ADVANCE,11,1453.661419803784,10.821643286573146
BR-06,177,8,6,8,6,0.0,1.0,0,1,0.02069998299703002,True,ADVANCE,3,1000.0,10.888443553774215
BR-06,178,7,6,7,6,-1.0,0.0,-1,0,0.02110004425048828,True,ADVANCE,9,1000.0,10.955243820975284
BR-06,179,7,7,7,7,0.0,1.0,0,1,0.020799983758479357,True,ADVANCE,11,1000.0,11.022044088176353
BR-06,180,8,7,8,7,1.0,0.0,1,0,0.0198000343516469,True,ADVANCE,6,1800.7374029168082,11.088844355377422
BR-06,181,8,8,8,8,0.0,1.0,0,1,0.01969997538253665,True,ADVANCE,5,1000.0,11.15564462257849
BR-06,182,9,8,9,8,1.0,0.0,1,0,0.021200045011937618,True,ADVANCE,13,1441.9177913467624,11.22244488977956
BR-06,183,9,7,9,7,0.0,-1.0,0,-1,0.019799976143985987,True,ADVANCE,14,1067.381626734864,11.289245156980627
BR-06,184,9,6,9,6,0.0,-1.0,0,-1,0.020899984519928694,True,ADVANCE,13,1800.7374029168082,11.356045424181696
BR-06,185,9,5,9,5,0.0,-1.0,0,-1,0.020199979189783335,True,ADVANCE,9,1282.360776859909,11.422845691382765
BR-06,186,9,4,9,4,0.0,-1.0,0,-1,0.019799976143985987,True,ADVANCE,5,1000.0,11.489645958583834
BR-06,187,10,4,10,4,1.0,0.0,1,0,0.02010003663599491,True,ADVANCE,11,1800.7374029168082,11.556446225784903
BR-06,188,10,3,10,3,0.0,-1.0,0,-1,0.02099998528137803,True,ADVANCE,8,1000.0,11.623246492985972
BR-06,189,10,2,10,2,0.0,-1.0,0,-1,0.01999997766688466,True,ADVANCE,10,1800.7374029168082,11.690046760187041
BR-06,190,10,1,10,1,0.0,-1.0,0,-1,0.019599974621087313,True,ADVANCE,8,1000.0,11.75684702738811
BR-06,191,10,0,10,0,0.0,-1.0,0,-1,0.018900027498602867,True,ADVANCE,7,1441.9177913467624,11.823647294589177
BR-06,192,11,0,11,0,1.0,0.0,1,0,0.019200029782950878,True,ADVANCE,13,1441.9177913467624,11.890447561790248
BR-06,193,11,1,11,1,0.0,1.0,0,1,0.01829996472224593,True,ADVANCE,14,1800.7374029168082,11.957247828991315
BR-06,194,11,2,11,2,0.0,1.0,0,1,0.01939997309818864,True,ADVANCE,5,1000.0,12.024048096192384
BR-06,195,11,3,11,3,0.0,1.0,0,1,0.06059999577701092,True,ADVANCE,8,1641.1803884299545,12.090848363393453
BR-06,196,11,4,11,4,0.0,1.0,0,1,0.03300001844763756,True,ADVANCE,6,1018.3156388887342,12.157648630594522
BR-06,197,11,5,11,5,0.0,1.0,0,1,0.02370000584051013,True,ADVANCE,4,1000.0,12.224448897795591
BR-06,198,10,5,10,5,-1.0,0.0,-1,0,0.021400046534836292,True,ADVANCE,10,2000.0,12.291249164996659
BR-06,199,10,6,10,6,0.0,1.0,0,1,0.02269999822601676,True,ADVANCE,9,1129.9303907247136,12.35804943219773
BR-06,200,10,7,10,7,0.0,1.0,0,1,0.020899984519928694,True,ADVANCE,10,1641.1803884299545,12.424849699398797
BR-06,201,10,7,10,8,-9.999820004859853,0.05999892002915911,0,0,0.04569999873638153,False,WAIT,9,1441.9177913467624,12.424849699398797
BR-06,202,10,8,10,8,0.0,1.0,0,1,0.022599997464567423,True,ADVANCE,7,1000.0,12.491649966599866
BR-06,203,10,9,10,9,0.0,1.0,0,1,0.022499996703118086,True,ADVANCE,12,1211.8496934239954,12.558450233800937
BR-06,204,9,9,9,9,-1.0,0.0,-1,0,0.021199986804276705,True,ADVANCE,9,1969.750718322874,12.625250501002002
BR-06,205,9,10,9,10,0.0,1.0,0,1,0.022199994418770075,True,ADVANCE,12,1282.360776859909,12.692050768203073
BR-06,206,8,10,8,10,-1.0,0.0,-1,0,0.02069998299703002,True,ADVANCE,7,1000.0,12.758851035404142
BR-06,207,8,11,8,11,0.0,1.0,0,1,0.021199986804276705,True,ADVANCE,8,1000.0,12.825651302605209
BR-06,208,7,11,7,11,-1.0,0.0,-1,0,0.02039998071268201,True,ADVANCE,7,1000.0,12.89245156980628
BR-06,209,6,11,6,11,-1.0,0.0,-1,0,0.021199986804276705,True,ADVANCE,8,1601.474805833616,12.959251837007349
BR-06,210,5,11,5,11,-1.0,0.0,-1,0,0.02050003968179226,True,ADVANCE,6,1055.6379982778428,13.026052104208416
BR-06,211,4,11,4,11,-1.0,0.0,-1,0,0.02110004425048828,True,ADVANCE,13,1936.0726861534208,13.092852371409485
BR-06,212,4,10,4,10,0.0,-1.0,0,-1,0.02039998071268201,True,ADVANCE,4,1000.0,13.159652638610556
