scenario,frame,robot_r,robot_c,goal_r,goal_c,nodes_expanded,max_queue_size,time_ms,path_cost,path_length,success,action,pedestrians_count,max_occupancy,coverage,replan_triggered,cells_changed,km_value
BR-06,137,5,2,5,2,2,3,0.08819997310638428,1.0,1,True,ADVANCE,10,1000.0,8.550434201736808,True,772,0.0
BR-06,138,5,1,5,1,2,3,0.10609999299049377,1.0,1,True,ADVANCE,5,1000.0,8.617234468937877,True,730,0.0
BR-06,139,5,0,5,0,2,2,0.08510000770911574,1.0,1,True,ADVANCE,10,1000.0,8.684034736138944,True,790,0.0
BR-06,140,6,0,6,0,2,2,0.07149996235966682,1.0,1,True,ADVANCE,5,1000.0,8.750835003340013,True,667,0.0
BR-06,141,6,1,6,1,2,3,0.06550003308802843,1.0,1,True,ADVANCE,16,1601.474805833616,8.817635270541082,True,856,0.0
BR-06,142,6,2,6,2,2,3,0.06470002699643373,1.0,1,True,ADVANCE,15,1800.7374029168082,8.884435537742151,True,1067,0.0
BR-06,143,6,3,6,3,2,3,0.07599999662488699,1.0,1,True,ADVANCE,14,1211.8496934239954,8.95123580494322,True,1035,0.0
BR-06,144,6,4,6,4,2,3,0.06520003080368042,1.0,1,True,ADVANCE,8,1441.9177913467624,9.01803607214429,True,831,0.0
BR-06,145,5,4,5,4,2,3,0.06350001785904169,1.0,1,True,ADVANCE,9,1441.9177913467624,9.084836339345358,True,661,0.0
BR-06,146,5,5,5,5,2,3,0.06690004374831915,1.0,1,True,ADVANCE,9,1022.8734649112389,9.151636606546425,True,798,0.0
BR-06,147,5,6,5,6,2,3,0.06450002547353506,1.0,1,True,ADVANCE,6,1055.6379982778428,9.218436873747494,True,715,0.0
BR-06,148,5,7,5,7,2,3,0.06250001024454832,1.0,1,True,ADVANCE,10,1601.474805833616,9.285237140948563,True,699,0.0
BR-06,149,4,7,4,7,2,3,0.06639998173341155,1.0,1,True,ADVANCE,13,1441.9177913467624,9.352037408149632,True,984,0.0
BR-06,150,4,8,4,8,2,3,0.06739998934790492,1.0,1,True,ADVANCE,9,1011.7436284570214,9.418837675350701,True,947,0.0
BR-06,151,4,9,4,9,2,3,0.06970000686123967,1.0,1,True,ADVANCE,10,1000.0,9.48563794255177,True,868,0.0
BR-06,152,4,9,4,10,1,1,0.051200040616095066,-1.0,0,False,WAIT,12,1022.8734649112389,9.48563794255177,True,831,0.0
BR-06,153,4,10,4,10,1,4,15.468199970200658,1.0,1,True,ADVANCE,7,1000.0,9.55243820975284,True,831,0.0
BR-06,154,4,11,4,11,2,3,0.361700018402189,1.0,1,True,ADVANCE,6,1011.7436284570214,9.619238476953909,True,571,0.0
BR-06,155,4,12,4,12,2,3,0.08460000390186906,1.0,1,True,ADVANCE,6,1000.0,9.686038744154976,True,659,0.0
BR-06,156,4,13,4,13,2,3,0.07910002022981644,1.0,1,True,ADVANCE,9,1211.8496934239954,9.752839011356047,True,667,0.0
BR-06,157,4,13,4,14,1,1,0.04789995728060603,-1.0,0,False,WAIT,10,1441.9177913467624,9.752839011356047,True,840,0.0
BR-06,158,4,14,4,14,1,4,15.07680001668632,1.0,1,True,ADVANCE,8,1441.9177913467624,9.819639278557114,True,815,0.0
BR-06,159,5,14,5,14,2,3,0.2815999905578792,1.0,1,True,ADVANCE,5,1000.0,9.886439545758183,True,584,0.0
BR-06,160,5,13,5,13,2,3,0.0817000400274992,1.0,1,True,ADVANCE,11,1641.1803884299545,9.953239812959252,True,722,0.0
BR-06,161,5,13,5,12,1,1,0.055100012104958296,-1.0,0,False,WAIT,15,1000.0,9.953239812959252,True,1030,0.0
BR-06,162,5,12,5,12,1,4,19.049800001084805,1.0,1,True,ADVANCE,7,1018.3156388887342,10.02004008016032,True,1028,0.0
BR-06,163,5,11,5,11,2,3,0.2954000374302268,1.0,1,True,ADVANCE,8,1441.9177913467624,10.08684034736139,True,683,0.0
BR-06,164,5,10,5,10,2,3,0.0838999985717237,1.0,1,True,ADVANCE,11,1441.9177913467624,10.153640614562457,True,803,0.0
BR-06,165,5,9,5,9,2,3,0.07269997149705887,1.0,1,True,ADVANCE,6,1000.0,10.220440881763528,True,710,0.0
BR-06,166,5,8,5,8,2,3,0.07760000880807638,1.0,1,True,ADVANCE,7,1000.0,10.287241148964595,True,570,0.0
BR-06,167,6,8,6,8,2,3,0.07100001676008105,1.0,1,True,ADVANCE,12,1800.7374029168082,10.354041416165664,True,961,0.0
